Year,Satellite Type,Budget (in Billion $),Success Rate (%),Environmental Impact,Duration (in Days),Num_Collaborators,Tech_Maturity,Budget_Per_Day,Money_Efficiency,Mission Type_Unmanned,Technology Used_Nuclear Propulsion,Technology Used_Reusable Rocket,Technology Used_Solar Propulsion,Technology Used_Traditional Rocket,Country_France,Country_Germany,Country_India,Country_Israel,Country_Japan,Country_Russia,Country_UAE,Country_UK,Country_USA,Tech_Budget_Power
2008,Research,27.87,57.0,High,29,2,1.0,0.929,61.35629709364908,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27.87
2020,Weather,47.06,68.0,Low,241,2,3.0,0.19446280991735537,349.68125796855077,True,True,False,False,False,False,False,False,False,False,False,False,False,True,141.18
2015,Weather,38.83,50.0,Medium,191,3,1.0,0.20223958333333333,247.23152201905742,True,False,False,False,False,False,False,False,False,False,False,False,True,False,38.83
2022,Spy,48.25,68.0,Medium,15,1,3.0,3.015625,22.54922279792746,False,True,False,False,False,False,False,False,False,True,False,False,False,False,144.75
2004,Research,6.38,73.0,Low,169,1,1.0,0.03752941176470588,1945.1410658307211,True,False,False,False,False,False,False,True,False,False,False,False,False,False,6.38
2025,Spy,27.01,85.0,Medium,81,3,1.0,0.32939024390243904,258.05257312106625,False,False,False,False,True,False,False,False,False,True,False,False,False,False,27.01
2017,Spy,2.17,56.0,Low,210,1,1.0,0.010284360189573459,5445.161290322581,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2.17
2013,Spy,44.01,92.0,Medium,353,1,1.0,0.12432203389830508,740.0136332651671,True,False,False,False,False,True,False,False,False,False,False,False,False,False,44.01
2019,Weather,45.31,87.0,High,260,2,1.0,0.17360153256704983,501.14764952549103,True,False,False,False,False,False,False,False,False,False,False,True,False,False,45.31
2006,Navigation,16.57,71.0,Low,76,3,1.0,0.2151948051948052,329.9336149668075,True,False,False,False,False,False,False,False,False,False,True,False,False,False,16.57
2025,Weather,47.79,56.0,High,295,3,4.0,0.1614527027027027,346.85080560786776,False,False,True,False,False,False,False,False,False,False,False,False,True,False,191.16
2024,Spy,46.17,62.0,Medium,322,2,1.0,0.14294117647058824,433.7448559670782,True,False,False,False,False,False,False,False,False,True,False,False,False,False,46.17
2025,Weather,3.83,65.0,High,323,3,2.0,0.011820987654320988,5498.694516971279,False,False,False,True,False,False,False,True,False,False,False,False,False,False,7.66
2009,Weather,11.4,88.0,Low,215,2,1.0,0.05277777777777778,1667.3684210526317,True,False,False,False,True,True,False,False,False,False,False,False,False,False,11.4
2022,Spy,16.89,56.0,Medium,326,2,1.0,0.05165137614678899,1084.1918294849024,True,False,False,False,True,False,False,False,False,True,False,False,False,False,16.89
2016,Research,0.79,82.0,Low,191,3,1.0,0.004114583333333334,19929.11392405063,True,False,False,False,True,False,False,True,False,False,False,False,False,False,0.79
2022,Spy,1.51,92.0,Medium,353,1,2.0,0.004265536723163842,21568.2119205298,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3.02
2024,Communication,26.05,73.0,Medium,307,2,3.0,0.08457792207792209,863.109404990403,True,True,False,False,False,False,False,True,False,False,False,False,False,False,78.15
2011,Weather,3.08,64.0,High,213,1,4.0,0.014392523364485982,4446.7532467532465,False,False,True,False,False,False,False,False,False,False,True,False,False,False,12.32
2003,Research,19.78,88.0,High,143,1,1.0,0.13736111111111113,640.6471183013144,True,False,False,False,True,False,False,False,False,False,False,False,False,True,19.78
2024,Research,38.2,97.0,Medium,358,3,4.0,0.10640668523676881,911.5968586387434,True,False,True,False,False,False,False,False,False,False,True,False,False,False,152.8
2015,Weather,24.51,72.0,High,177,1,1.0,0.13769662921348316,522.8886168910648,False,False,False,False,True,False,False,False,False,False,False,False,False,True,24.51
2009,Weather,11.27,50.0,Medium,175,2,3.0,0.0640340909090909,780.8340727595387,False,True,False,False,False,False,False,False,False,False,False,False,False,True,33.81
2015,Spy,47.9,61.0,Low,154,3,4.0,0.3090322580645161,197.39039665970773,True,False,True,False,False,False,False,True,False,False,False,False,False,False,191.6
2000,Research,28.94,71.0,Low,283,2,4.0,0.10190140845070424,696.7519004837594,True,False,True,False,False,False,False,False,False,True,False,False,False,False,115.76
2009,Communication,35.58,97.0,Medium,165,1,4.0,0.21433734939759036,452.557616638561,False,False,True,False,False,False,False,False,False,True,False,False,False,False,142.32
2020,Weather,48.72,68.0,High,119,3,2.0,0.40599999999999997,167.48768472906406,True,False,False,True,False,False,False,False,False,False,False,False,False,True,97.44
2013,Navigation,33.53,93.0,Medium,259,1,3.0,0.12896153846153846,721.1452430659111,False,True,False,False,False,False,False,False,False,False,True,False,False,False,100.59
2024,Weather,23.1,99.0,High,267,3,1.0,0.08619402985074627,1148.5714285714284,True,False,False,False,False,False,False,False,True,False,False,False,False,False,23.1
2011,Spy,47.39,60.0,High,260,3,2.0,0.18157088122605364,330.44946191179577,False,False,False,True,False,False,False,True,False,False,False,False,False,False,94.78
2006,Navigation,23.83,71.0,High,140,2,3.0,0.16900709219858154,420.10071338648766,False,True,False,False,False,True,False,False,False,False,False,False,False,False,71.49
2022,Communication,45.98,91.0,High,229,3,4.0,0.19991304347826086,455.1979121357112,False,False,True,False,False,False,False,False,False,False,False,False,True,False,183.92
2020,Research,42.77,95.0,Medium,60,1,4.0,0.7011475409836067,135.492167407061,False,False,True,False,False,False,False,True,False,False,False,False,False,False,171.08
2025,Communication,7.59,98.0,High,265,1,4.0,0.028533834586466165,3434.5191040843215,True,False,True,False,False,False,False,False,False,False,False,False,True,False,30.36
2010,Navigation,40.67,63.0,Medium,39,1,3.0,1.01675,61.96213425129088,True,True,False,False,False,False,False,False,False,False,False,False,False,False,122.01
2022,Navigation,18.11,85.0,Medium,342,2,4.0,0.05279883381924198,1609.8840419657647,False,False,True,False,False,False,True,False,False,False,False,False,False,False,72.44
2010,Navigation,14.83,68.0,Medium,13,1,1.0,1.0592857142857144,64.19420094403236,False,False,False,False,True,False,False,False,False,False,False,False,False,False,14.83
2017,Communication,4.16,73.0,Medium,318,1,4.0,0.013040752351097178,5597.836538461539,False,False,True,False,False,False,False,False,False,False,True,False,False,False,16.64
2008,Communication,25.99,97.0,Low,146,1,1.0,0.17680272108843537,548.6340900346287,True,False,False,False,True,False,False,False,False,True,False,False,False,False,25.99
2003,Research,11.82,76.0,High,148,1,2.0,0.07932885906040268,958.0372250423012,False,False,False,True,False,False,False,False,False,False,False,False,True,False,23.64
2012,Weather,46.66,69.0,Low,239,3,1.0,0.19441666666666665,354.90784397771114,False,False,False,False,True,False,False,False,False,False,False,False,True,False,46.66
2025,Weather,28.49,66.0,High,212,3,2.0,0.13375586854460092,493.4362934362935,False,False,False,True,False,False,False,False,False,False,False,False,False,False,56.98
2020,Communication,34.23,55.0,Low,290,2,1.0,0.11762886597938144,467.5723049956179,True,False,False,False,True,False,False,False,False,False,False,True,False,False,34.23
2020,Spy,14.98,54.0,Low,264,1,1.0,0.056528301886792455,955.2736982643524,False,False,False,False,True,False,False,False,True,False,False,False,False,False,14.98
2024,Communication,17.47,69.0,High,118,3,1.0,0.14680672268907563,470.0057240984545,True,False,False,False,False,False,False,True,False,False,False,False,False,False,17.47
2002,Spy,37.62,99.0,High,309,2,1.0,0.1213548387096774,815.7894736842106,True,False,False,False,True,False,False,False,False,False,False,False,False,True,37.62
2017,Weather,4.43,67.0,Medium,274,3,4.0,0.01610909090909091,4159.142212189616,False,False,True,False,False,False,False,False,False,False,False,False,True,False,17.72
2003,Communication,46.54,74.0,Low,191,2,4.0,0.24239583333333334,305.28577567683715,False,False,True,False,False,False,False,False,False,False,True,False,False,False,186.16
2023,Research,33.15,85.0,Medium,93,3,1.0,0.3526595744680851,241.02564102564102,False,False,False,False,True,False,False,False,False,False,False,False,False,False,33.15
2009,Communication,6.89,79.0,Medium,262,2,4.0,0.026197718631178705,3015.5297532656027,True,False,True,False,False,False,False,False,False,False,True,False,False,False,27.56
2022,Spy,6.85,76.0,Low,3,1,2.0,1.7125,44.37956204379562,True,False,False,True,False,False,True,False,False,False,False,False,False,False,13.7
2012,Weather,44.02,79.0,Medium,134,3,4.0,0.32607407407407407,242.2762380736029,True,False,True,False,False,False,False,True,False,False,False,False,False,False,176.08
2024,Weather,7.63,58.0,High,6,1,1.0,1.09,53.211009174311926,False,False,False,False,True,False,True,False,False,False,False,False,False,False,7.63
2017,Research,14.01,93.0,Medium,227,3,1.0,0.06144736842105263,1513.490364025696,True,False,False,False,False,False,False,False,False,False,False,True,False,False,14.01
2024,Weather,16.47,78.0,High,88,2,3.0,0.18505617977528088,421.49362477231335,False,True,False,False,False,False,True,False,False,False,False,False,False,False,49.41
2012,Research,37.98,99.0,High,5,3,2.0,6.329999999999999,15.639810426540286,True,False,False,True,False,False,False,False,False,False,True,False,False,False,75.96
2002,Communication,14.58,55.0,High,58,1,3.0,0.2471186440677966,222.56515775034293,False,True,False,False,False,False,False,False,False,True,False,False,False,False,43.74
2005,Navigation,26.26,66.0,Medium,39,3,2.0,0.6565000000000001,100.53313023610052,True,False,False,True,False,False,False,False,False,False,True,False,False,False,52.52
2012,Weather,44.88,59.0,Low,311,1,3.0,0.14384615384615385,410.16042780748666,True,True,False,False,False,False,False,False,False,False,False,False,False,True,134.64000000000001
2020,Research,5.36,85.0,High,330,1,3.0,0.016193353474320243,5249.067164179104,False,True,False,False,False,False,False,False,False,False,False,False,False,True,16.080000000000002
2009,Weather,6.93,76.0,Low,251,2,4.0,0.0275,2763.6363636363635,False,False,True,False,False,False,False,False,False,False,False,False,False,False,27.72
2004,Navigation,44.39,76.0,High,316,3,1.0,0.14003154574132493,542.7348501914845,True,False,False,False,True,False,False,False,True,False,False,False,False,False,44.39
2010,Weather,32.82,87.0,Medium,50,1,3.0,0.6435294117647059,135.19195612431443,False,True,False,False,False,False,False,False,False,True,False,False,False,False,98.46000000000001
2008,Communication,28.25,67.0,Medium,94,2,1.0,0.29736842105263156,225.30973451327435,True,False,False,False,False,False,False,False,False,False,False,False,True,False,28.25
2015,Research,9.98,52.0,Low,81,1,1.0,0.12170731707317074,427.25450901803606,True,False,False,False,True,False,False,False,False,False,False,True,False,False,9.98
2016,Communication,22.72,61.0,Low,136,2,1.0,0.16583941605839414,367.8257042253522,False,False,False,False,False,False,False,False,False,False,False,False,True,False,22.72
2025,Spy,8.29,90.0,Medium,320,3,4.0,0.025825545171339562,3484.9215922798553,True,False,True,False,False,True,False,False,False,False,False,False,False,False,33.16
2024,Navigation,10.14,98.0,Medium,157,1,4.0,0.06417721518987342,1527.0216962524655,False,False,True,False,False,False,True,False,False,False,False,False,False,False,40.56
2010,Weather,16.85,81.0,High,110,2,3.0,0.1518018018018018,533.5905044510386,False,True,False,False,False,False,False,False,True,False,False,False,False,False,50.550000000000004
2011,Research,40.63,66.0,High,4,3,3.0,8.126000000000001,8.122077282795962,True,True,False,False,False,False,False,False,False,False,False,False,False,True,121.89000000000001
2014,Spy,29.25,77.0,Medium,126,1,1.0,0.23031496062992127,334.3247863247863,True,False,False,False,False,False,False,True,False,False,False,False,False,False,29.25
2015,Research,2.52,100.0,High,142,2,1.0,0.017622377622377623,5674.603174603174,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.52
2003,Spy,32.74,78.0,Medium,90,3,2.0,0.3597802197802198,216.79902260232132,False,False,False,True,False,False,False,True,False,False,False,False,False,False,65.48
2004,Weather,10.58,100.0,Medium,340,2,1.0,0.03102639296187683,3223.0623818525523,True,False,False,False,False,False,False,False,False,False,True,False,False,False,10.58
2022,Spy,25.15,73.0,Low,105,1,1.0,0.2372641509433962,307.67395626242546,True,False,False,False,False,False,False,False,False,False,False,False,True,False,25.15
2005,Research,20.93,86.0,Medium,236,1,1.0,0.08831223628691982,973.8174868609652,False,False,False,False,False,False,False,True,False,False,False,False,False,False,20.93
2013,Communication,10.56,63.0,Medium,293,2,2.0,0.035918367346938776,1753.9772727272727,True,False,False,True,False,False,True,False,False,False,False,False,False,False,21.12
2025,Research,43.25,65.0,Low,265,3,4.0,0.162593984962406,399.76878612716763,False,False,True,False,False,False,False,False,True,False,False,False,False,False,173.0
2019,Weather,11.38,52.0,High,176,2,2.0,0.06429378531073447,808.787346221441,False,False,False,True,False,False,False,False,False,False,False,False,False,True,22.76
2003,Weather,18.32,89.0,High,194,3,2.0,0.09394871794871795,947.325327510917,False,False,False,True,False,False,False,False,False,False,False,False,False,True,36.64
2000,Research,31.13,85.0,High,126,2,1.0,0.24511811023622046,346.77160295534856,True,False,False,False,False,False,False,True,False,False,False,False,False,False,31.13
2002,Weather,13.51,96.0,Medium,335,1,1.0,0.04020833333333333,2387.5647668393785,True,False,False,False,True,False,False,False,False,False,False,True,False,False,13.51
2012,Spy,3.15,65.0,Low,284,3,3.0,0.011052631578947368,5880.952380952382,True,True,False,False,False,False,False,False,False,False,False,False,False,True,9.45
2001,Navigation,34.03,50.0,High,153,2,1.0,0.220974025974026,226.27093740816926,False,False,False,False,True,False,False,False,False,False,False,False,False,True,34.03
2022,Spy,47.92,88.0,Medium,180,2,4.0,0.26475138121546965,332.38731218697825,True,False,True,False,False,False,False,False,False,False,False,False,False,True,191.68
2015,Spy,44.43,91.0,High,355,2,2.0,0.12480337078651685,729.146972766149,True,False,False,True,False,True,False,False,False,False,False,False,False,False,88.86
2024,Navigation,26.66,94.0,High,70,2,1.0,0.3754929577464789,250.337584396099,True,False,False,False,True,False,False,False,False,False,False,False,False,False,26.66
2014,Weather,41.21,63.0,High,6,2,3.0,5.887142857142857,10.701286095607863,False,True,False,False,False,False,False,False,False,False,False,True,False,False,123.63
2007,Research,47.64,91.0,Low,321,2,1.0,0.1479503105590062,615.071368597817,False,False,False,False,True,False,True,False,False,False,False,False,False,False,47.64
2009,Research,4.45,91.0,Low,254,2,2.0,0.017450980392156864,5214.606741573033,True,False,False,True,False,False,False,False,False,False,True,False,False,False,8.9
2021,Navigation,37.09,54.0,Low,220,2,4.0,0.16782805429864256,321.7578862227015,True,False,True,False,False,False,False,False,False,False,False,False,False,True,148.36
2023,Spy,8.23,60.0,Low,259,1,1.0,0.03165384615384616,1895.5042527339,True,False,False,False,True,False,False,False,False,False,False,False,False,False,8.23
2016,Research,2.9,85.0,Low,94,3,1.0,0.030526315789473683,2784.4827586206898,True,False,False,False,True,False,True,False,False,False,False,False,False,False,2.9
2016,Navigation,39.6,60.0,Medium,65,1,1.0,0.6,100.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,39.6
2006,Weather,18.23,57.0,Low,350,2,1.0,0.05193732193732194,1097.4766867800329,False,False,False,False,True,False,False,False,False,False,False,False,False,False,18.23
2008,Research,9.25,76.0,High,34,1,3.0,0.2642857142857143,287.56756756756755,True,True,False,False,False,False,True,False,False,False,False,False,False,False,27.75
2022,Communication,33.3,50.0,Low,83,3,1.0,0.3964285714285714,126.12612612612614,True,False,False,False,False,False,False,False,True,False,False,False,False,False,33.3
2007,Navigation,37.9,76.0,Medium,217,3,4.0,0.1738532110091743,437.1503957783641,False,False,True,False,False,False,False,False,False,False,False,False,False,True,151.6
2008,Spy,17.26,65.0,Medium,182,1,1.0,0.0943169398907104,689.1657010428736,False,False,False,False,True,False,False,False,False,False,False,False,False,True,17.26
2014,Navigation,40.73,76.0,Medium,257,2,1.0,0.15786821705426354,481.4141910139947,False,False,False,False,False,False,False,False,False,False,True,False,False,False,40.73
2001,Communication,27.77,54.0,Medium,100,3,3.0,0.274950495049505,196.39899171768093,True,True,False,False,False,False,False,False,False,False,False,False,False,False,83.31
2012,Research,31.37,83.0,Medium,292,1,2.0,0.10706484641638225,775.2311125278928,False,False,False,True,False,False,False,True,False,False,False,False,False,False,62.74
2018,Weather,21.31,92.0,High,148,3,3.0,0.1430201342281879,643.2660722665416,False,True,False,False,False,False,False,True,False,False,False,False,False,False,63.92999999999999
2014,Navigation,40.0,67.0,Medium,280,3,2.0,0.1423487544483986,470.67499999999995,False,False,False,True,False,False,False,False,False,True,False,False,False,False,80.0
2012,Weather,43.63,96.0,Medium,113,1,1.0,0.38271929824561407,250.83658033463212,False,False,False,False,False,False,False,False,False,False,False,False,True,False,43.63
2014,Navigation,29.22,85.0,High,173,1,1.0,0.16793103448275862,506.1601642710472,False,False,False,False,False,False,False,False,False,False,False,False,False,True,29.22
2004,Research,33.31,52.0,Low,337,3,2.0,0.09855029585798818,527.6493545481836,True,False,False,True,False,False,False,False,True,False,False,False,False,False,66.62
2024,Communication,22.53,80.0,Low,120,2,4.0,0.18619834710743802,429.64935641367066,False,False,True,False,False,False,False,True,False,False,False,False,False,False,90.12
2021,Research,36.98,98.0,Low,172,3,4.0,0.213757225433526,458.46403461330453,True,False,True,False,False,False,False,False,False,True,False,False,False,False,147.92
2010,Research,26.89,61.0,Medium,128,3,2.0,0.20844961240310078,292.63666790628486,False,False,False,True,False,False,False,False,False,False,True,False,False,False,53.78
2023,Navigation,30.86,98.0,Medium,142,1,2.0,0.2158041958041958,454.1153596889177,True,False,False,True,False,False,False,False,False,False,False,True,False,False,61.72
2020,Navigation,49.92,97.0,Low,198,1,4.0,0.25085427135678395,386.67868589743586,False,False,True,False,False,False,False,False,True,False,False,False,False,False,199.68
2020,Weather,36.69,72.0,Low,363,1,3.0,0.10079670329670329,714.3090760425184,False,True,False,False,False,False,False,False,False,False,True,False,False,False,110.07
2021,Communication,8.7,88.0,Medium,139,2,1.0,0.06214285714285714,1416.0919540229886,False,False,False,False,True,False,False,False,False,False,False,False,False,True,8.7
2017,Research,11.23,89.0,Low,36,2,4.0,0.3035135135135135,293.23241317898487,False,False,True,False,False,False,True,False,False,False,False,False,False,False,44.92
2022,Research,24.27,85.0,Low,139,3,1.0,0.17335714285714285,490.31726411207256,True,False,False,False,False,False,True,False,False,False,False,False,False,False,24.27
2001,Research,3.42,87.0,High,181,1,1.0,0.01879120879120879,4629.8245614035095,True,False,False,False,False,False,False,False,False,True,False,False,False,False,3.42
2013,Weather,38.94,98.0,High,333,3,1.0,0.11658682634730538,840.5752439650745,False,False,False,False,False,False,False,False,False,False,True,False,False,False,38.94
2023,Weather,41.31,62.0,Low,101,3,3.0,0.405,153.0864197530864,True,True,False,False,False,False,False,False,False,False,False,False,True,False,123.93
2009,Communication,42.52,75.0,High,75,2,1.0,0.5594736842105263,134.05456255879585,True,False,False,False,True,False,False,False,False,False,False,False,False,True,42.52
2012,Weather,8.04,80.0,Medium,276,3,1.0,0.02902527075812274,2756.2189054726373,True,False,False,False,True,False,False,False,False,False,True,False,False,False,8.04
2001,Navigation,7.04,58.0,High,101,3,1.0,0.06901960784313725,840.3409090909091,True,False,False,False,True,True,False,False,False,False,False,False,False,False,7.04
2011,Navigation,9.84,83.0,Medium,304,3,1.0,0.032262295081967214,2572.662601626016,False,False,False,False,True,False,True,False,False,False,False,False,False,False,9.84
2010,Spy,37.91,56.0,Low,311,3,1.0,0.12150641025641025,460.881034027961,True,False,False,False,False,False,False,False,True,False,False,False,False,False,37.91
2002,Weather,25.28,75.0,Medium,132,1,1.0,0.1900751879699248,394.58069620253167,False,False,False,False,True,False,False,False,False,False,False,False,False,False,25.28
2013,Research,28.52,54.0,Medium,343,1,2.0,0.08290697674418604,651.3323983169706,False,False,False,True,False,False,False,False,True,False,False,False,False,False,57.04
2008,Communication,28.42,95.0,Low,135,3,3.0,0.20897058823529413,454.6094299788881,False,True,False,False,False,False,False,False,False,False,False,False,True,False,85.26
2014,Communication,46.7,52.0,High,287,2,1.0,0.16215277777777778,320.6852248394004,True,False,False,False,False,False,False,False,False,False,False,False,False,False,46.7
2015,Communication,8.35,73.0,Medium,239,1,2.0,0.034791666666666665,2098.2035928143714,False,False,False,True,False,False,False,False,False,False,False,False,False,False,16.7
2007,Navigation,31.94,69.0,Medium,137,1,1.0,0.23144927536231885,298.12147777082026,True,False,False,False,True,False,False,False,False,True,False,False,False,False,31.94
2009,Communication,27.79,58.0,High,134,3,1.0,0.20585185185185184,281.7560273479669,False,False,False,False,False,False,False,False,True,False,False,False,False,False,27.79
2012,Communication,15.59,68.0,Low,277,2,1.0,0.05607913669064748,1212.5721616420783,True,False,False,False,False,False,False,False,False,True,False,False,False,False,15.59
2014,Weather,38.95,70.0,High,305,2,2.0,0.12728758169934642,549.935815147625,True,False,False,True,False,False,False,True,False,False,False,False,False,False,77.9
2023,Communication,32.36,51.0,Low,264,3,1.0,0.12211320754716981,417.6452410383189,False,False,False,False,True,False,False,False,False,False,False,False,False,False,32.36
2002,Weather,45.65,52.0,Medium,7,2,4.0,5.70625,9.112814895947427,True,False,True,False,False,True,False,False,False,False,False,False,False,False,182.6
2010,Navigation,17.82,95.0,Low,231,3,1.0,0.07681034482758621,1236.8125701459035,False,False,False,False,False,True,False,False,False,False,False,False,False,False,17.82
2004,Weather,33.47,67.0,High,114,1,1.0,0.29104347826086957,230.2061547654616,False,False,False,False,True,False,False,True,False,False,False,False,False,False,33.47
2022,Research,22.6,88.0,Low,149,3,1.0,0.15066666666666667,584.070796460177,True,False,False,False,False,False,False,False,True,False,False,False,False,False,22.6
2001,Spy,31.32,74.0,Low,64,1,1.0,0.48184615384615387,153.57598978288632,True,False,False,False,False,True,False,False,False,False,False,False,False,False,31.32
2018,Communication,27.09,75.0,Low,144,1,2.0,0.18682758620689655,401.43964562569215,True,False,False,True,False,False,False,False,True,False,False,False,False,False,54.18
2004,Weather,13.33,66.0,Low,110,1,1.0,0.12009009009009008,549.5873968492124,False,False,False,False,True,False,False,False,False,True,False,False,False,False,13.33
2024,Communication,20.7,80.0,Medium,264,3,3.0,0.07811320754716981,1024.1545893719806,False,True,False,False,False,False,False,False,False,False,False,False,True,False,62.099999999999994
2003,Spy,30.03,100.0,Low,43,2,1.0,0.6825,146.5201465201465,True,False,False,False,True,False,False,False,False,False,False,False,True,False,30.03
2006,Communication,12.87,96.0,High,170,3,3.0,0.07526315789473684,1275.5244755244755,False,True,False,False,False,False,False,False,False,True,False,False,False,False,38.61
2025,Research,31.41,78.0,Medium,85,2,4.0,0.36523255813953487,213.56255969436486,False,False,True,False,False,False,False,False,False,False,True,False,False,False,125.64
2003,Spy,16.08,56.0,Medium,2,2,1.0,5.359999999999999,10.447761194029852,True,False,False,False,True,False,False,False,False,False,False,False,True,False,16.08
2000,Communication,3.99,100.0,Medium,139,2,1.0,0.0285,3508.771929824561,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3.99
2018,Weather,46.02,52.0,Medium,167,2,1.0,0.27392857142857147,189.83050847457625,False,False,False,False,True,False,False,False,False,False,False,True,False,False,46.02
2023,Communication,11.99,99.0,High,145,1,2.0,0.08212328767123288,1205.5045871559632,False,False,False,True,False,True,False,False,False,False,False,False,False,False,23.98
2008,Navigation,34.47,51.0,Low,50,3,1.0,0.6758823529411765,75.45691906005221,True,False,False,False,False,False,False,False,False,False,False,False,True,False,34.47
2000,Weather,37.05,89.0,Medium,174,1,1.0,0.2117142857142857,420.37786774628887,True,False,False,False,False,False,False,True,False,False,False,False,False,False,37.05
2016,Research,16.53,69.0,High,20,2,4.0,0.7871428571428571,87.65880217785843,True,False,True,False,False,True,False,False,False,False,False,False,False,False,66.12
2018,Navigation,7.14,57.0,Medium,83,1,1.0,0.08499999999999999,670.5882352941177,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7.14
2004,Communication,44.87,65.0,Low,295,3,1.0,0.15158783783783783,428.794294628928,False,False,False,False,False,False,True,False,False,False,False,False,False,False,44.87
2019,Weather,18.19,90.0,High,48,3,1.0,0.3712244897959184,242.44090159428256,True,False,False,False,True,False,False,False,False,True,False,False,False,False,18.19
2015,Weather,42.16,70.0,High,216,3,2.0,0.19428571428571428,360.29411764705884,True,False,False,True,False,False,False,False,False,False,True,False,False,False,84.32
2017,Communication,23.44,90.0,Low,304,1,4.0,0.07685245901639344,1171.075085324232,True,False,True,False,False,False,False,False,False,False,True,False,False,False,93.76
2008,Weather,25.4,58.0,Low,103,3,2.0,0.24423076923076922,237.48031496062993,False,False,False,True,False,False,False,False,False,False,True,False,False,False,50.8
2022,Spy,48.07,54.0,High,78,1,2.0,0.6084810126582278,88.74557936342833,False,False,False,True,False,False,False,False,False,False,False,False,True,False,96.14
2008,Weather,16.53,69.0,Low,330,3,1.0,0.04993957703927493,1381.6696914700542,True,False,False,False,False,True,False,False,False,False,False,False,False,False,16.53
